desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment
448536202201460,http://www.animal.go.kr/files/shelter/2022/07/202208042208158_s.jpg,8/1/2022,상남,[개] 믹스견,블랙탄,2017(년생),5(Kg),경남-밀양-2022-01188,8/4/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208042208158.jpg,보호중,M,N,순하고 잘생긴아이,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,
448536202201459,http://www.animal.go.kr/files/shelter/2022/07/202208042208995_s.jpg,8/1/2022,삼랑진,[개] 믹스견,블랙&화이트,2022(년생),3(Kg),경남-밀양-2022-01187,8/4/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208042208995.jpg,보호중,F,N,귀엽게 생긴 순한 강아지,밀양시동물보호센터,010-5656-6665,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍),경상남도 밀양시,밀양시,055-359-7186,
431370202200719,http://www.animal.go.kr/files/shelter/2022/07/202208041808995_s.jpg,8/1/2022,남구청인근,[개] 믹스견,흰색 황색,2019(년생),6.70(Kg),울산-남구-2022-00475,8/4/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208041808995.jpg,보호중,M,N,"미용후 2주정도 경과, 성격이 매우 순하고 정말 착함 조용함, 웰시코기 믹스로 추정",주동물병원,010-6809-8275,울산광역시 남구 돋질로 385-1 (삼산동),울산광역시 남구,권도하,052-226-5264,
446482202200442,http://www.animal.go.kr/files/shelter/2022/07/202208031308296_s.jpg,8/1/2022,순천 폴리텍대학,[고양이] 한국 고양이,흰 노 (치즈망토),2022(년생),0.04(Kg),전남-순천-2022-00446,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208031308296.jpg,보호중,M,N,젖먹이 허피스 자생 어려움,대한동물사랑협회,061-755-7547,전라남도 순천시 상사면 민속마을길 978 (상사면) .,전라남도 순천시,순천시,061-749-3094,
446482202200441,http://www.animal.go.kr/files/shelter/2022/07/202208031308917_s.jpg,8/1/2022,순천 폴리텍 대학,[고양이] 한국 고양이,흰 노 (치즈망토),2022(년생),0.04(Kg),전남-순천-2022-00445,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208031308917.jpg,보호중,M,N,"허피스 젖먹이, 자생 어려움",대한동물사랑협회,061-755-7547,전라남도 순천시 상사면 민속마을길 978 (상사면) .,전라남도 순천시,순천시,061-749-3094,
445468202201401,http://www.animal.go.kr/files/shelter/2022/07/20220801210875_s.jpg,8/1/2022,익산시원광대학교정문앞 원병원주변도로에서,[개] 믹스견,흰색,2022(년생),6(Kg),전북-익산-2022-00984,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/20220801210875.jpg,보호중,M,N,생후4개월정도 온몸에 피부병이심하게걸려있고 말라있음,익산유기동물보호소,063-855-1214,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,전라북도 익산시,주온유,063-859-5769,
445468202201400,http://www.animal.go.kr/files/shelter/2022/07/202208012108790_s.jpg,8/1/2022,익산시원광대학교정문앞 원병원주변도로에서,[개] 믹스견,흰색,2017(년생),15(Kg),전북-익산-2022-00983,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208012108790.jpg,보호중,F,N,피부병에걸려있고 사나운편임,익산유기동물보호소,063-855-1214,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,전라북도 익산시,주온유,063-859-5769,
445468202201399,http://www.animal.go.kr/files/shelter/2022/07/202208011208619_s.jpg,8/1/2022,익산시여산면천호산등산로에서,[개] 포메라니안,흰색,2019(년생),4(Kg),전북-익산-2022-00982,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208011208619.jpg,보호중,F,N,뒤다리한쪽이다처보이며 순하고이쁘게생겼음,익산유기동물보호소,063-855-1214,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,전라북도 익산시,주온유,063-859-5769,
445468202201398,http://www.animal.go.kr/files/shelter/2022/07/202208011208277_s.jpg,8/1/2022,익산시삼기면삼기북길113,[개] 셰퍼드,갈색,2022(년생),7(Kg),전북-익산-2022-00981,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208011208277.jpg,종료(입양),M,N,생후4개월정도 순하고이쁘게생겼음,익산유기동물보호소,063-855-1214,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,전라북도 익산시,주온유,063-859-5769,
445468202201397,http://www.animal.go.kr/files/shelter/2022/07/20220801120810_s.jpg,8/1/2022,익산시동산동수도산공원,[개] 믹스견,흰갈색,2019(년생),10(Kg),전북-익산-2022-00980,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/20220801120810.jpg,보호중,M,N,발발이개이며 순한편임,익산유기동물보호소,063-855-1214,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,전라북도 익산시,주온유,063-859-5769,
445468202201396,http://www.animal.go.kr/files/shelter/2022/07/20220801120826_s.jpg,8/1/2022,익산시낭산면채석장앞,[개] 믹스견,흰색,2022(년생),2(Kg),전북-익산-2022-00979,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/20220801120826.jpg,보호중,F,N,생후3개월정도 스피츠믹스이며 작고순하며영리함,익산유기동물보호소,063-855-1214,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,전라북도 익산시,주온유,063-859-5769,
445468202201395,http://www.animal.go.kr/files/shelter/2022/07/202208011208393_s.jpg,8/1/2022,익산시낭산면채석장앞,[개] 믹스견,흰색,2022(년생),2(Kg),전북-익산-2022-00978,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208011208393.jpg,종료(입양),F,N,생후3개월정도 스피츠믹스이며작고순하며영리함,익산유기동물보호소,063-855-1214,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,전라북도 익산시,주온유,063-859-5769,
445468202201394,http://www.animal.go.kr/files/shelter/2022/07/202208011208803_s.jpg,8/1/2022,익산시낭산면채석장앞,[개] 믹스견,베이지색,2022(년생),3(Kg),전북-익산-2022-00977,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208011208803.jpg,보호중,M,N,생후3개월정도 작고순하고이쁘게생겼음,익산유기동물보호소,063-855-1214,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,전라북도 익산시,주온유,063-859-5769,
445468202201393,http://www.animal.go.kr/files/shelter/2022/07/202208011208914_s.jpg,8/1/2022,익산시낭산면채석장앞,[개] 믹스견,흰색,2022(년생),2(Kg),전북-익산-2022-00976,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208011208914.jpg,종료(입양),M,N,생후3개월정도 스피츠믹스이며작고순하며영리함,익산유기동물보호소,063-855-1214,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,전라북도 익산시,주온유,063-859-5769,
445468202201392,http://www.animal.go.kr/files/shelter/2022/07/202208011208974_s.jpg,8/1/2022,익산시낭산면채석장앞,[개] 믹스견,흰갈색,2022(년생),3(Kg),전북-익산-2022-00975,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208011208974.jpg,종료(입양),M,N,생후3개월정도 작고순하고이쁘게생겼음,익산유기동물보호소,063-855-1214,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,전라북도 익산시,주온유,063-859-5769,
445468202201391,http://www.animal.go.kr/files/shelter/2022/07/202208011208830_s.jpg,8/1/2022,익산시낭산면채석장앞,[개] 믹스견,흰색,2021(년생),5(Kg),전북-익산-2022-00974,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208011208830.jpg,보호중,F,N,발발이개이며 순한편임,익산유기동물보호소,063-855-1214,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,전라북도 익산시,주온유,063-859-5769,
445468202201390,http://www.animal.go.kr/files/shelter/2022/07/202208011208743_s.jpg,8/1/2022,익산시낭산면채석장앞,[개] 믹스견,갈색,2022(년생),5(Kg),전북-익산-2022-00973,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208011208743.jpg,보호중,F,N,발발이개이며 작고이쁘게생겼음,익산유기동물보호소,063-855-1214,전라북도 익산시 서동로42길 77 (용제동) 16통 1반,전라북도 익산시,주온유,063-859-5769,
441559202200886,http://www.animal.go.kr/files/shelter/2022/07/202208030908522_s.jpg,8/1/2022,고암동126-7 세븐일레븐 인근,[개] 믹스견,흰,2019(년생),23(Kg),경기-양주-2022-00349,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208030908522.jpg,종료(반환),M,Y,검은색 가죽목줄. 양귀쫑긋. 코검정. 사람좋아함/활발/애교있음. 꼬리단미안됨. 털때탐.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면),경기도 양주시,양주시 동물보호팀,031-8082-7361,
428357202200854,http://www.animal.go.kr/files/shelter/2022/07/202208031108589_s.jpg,8/1/2022,동검리589-14,[고양이] 한국 고양이,삼색,2022(년생),0.18(Kg),인천-강화-2022-00356,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208031108589.jpg,보호중,F,N,생후20일령,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
428357202200853,http://www.animal.go.kr/files/shelter/2022/07/202208031108840_s.jpg,8/1/2022,동검리589-14,[고양이] 한국 고양이,삼색,2022(년생),0.16(Kg),인천-강화-2022-00355,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208031108840.jpg,보호중,F,N,생후20일령,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
428357202200852,http://www.animal.go.kr/files/shelter/2022/07/202208031108126_s.jpg,8/1/2022,동검리589-14,[고양이] 한국 고양이,치즈,2022(년생),0.16(Kg),인천-강화-2022-00354,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208031108126.jpg,보호중,F,N,생후20일령,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
428357202200851,http://www.animal.go.kr/files/shelter/2022/07/202208031108394_s.jpg,8/1/2022,인천상수도 사업본부,[개] 믹스견,흰색,2014(년생),10.26(Kg),인천-강화-2022-00353,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208031108394.jpg,보호중,F,N,온순함,베스트동물병원,032-934-9340,"인천광역시 강화군 강화읍 강화대로 217 (강화읍, 린나이보일러)",인천광역시 강화군,강화군청,032-930-4533,
428354202201252,http://www.animal.go.kr/files/shelter/2022/07/202208021808758_s.jpg,8/1/2022,부평구 청천동 415-2,[개] 포메라니안,갈색,2018(년생),4.5(Kg),인천-부평-2022-00651,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208021808758.jpg,보호중,M,N,온순하고 사람하고친화력이 좋음,세림동물병원,032-503-0075,인천광역시 부평구 원적로 392 (산곡동),인천광역시 부평구,장상규,032-509-6554,
428349202200642,http://www.animal.go.kr/files/shelter/2022/07/202208011308809_s.jpg,8/1/2022,선녀바위 캠핑장,[개] 믹스견,"검,흰",2020(년생),13(Kg),인천-중구-2022-00449,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208011308809.jpg,보호중,M,N,겁이 많으나 매우순함.,신공항동물병원,032-751-4598,인천광역시 중구 운남동로3번길 9 (운남동),인천광역시 중구,김근영,032-760-8942,
427348202200772,http://www.animal.go.kr/files/shelter/2022/07/202208031708523_s.jpg,8/1/2022,현풍IC 인근,[고양이] 한국 고양이,고등어태비,2022(년생),0.3(Kg),대구-달성-2022-00479,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208031708523.jpg,보호중,F,N,"박스에 담긴 채 3마리 구조, 온순 ,건강상 특이소견 없음",현풍동물병원,053-614-3570,대구광역시 달성군 유가읍 테크노공원로 51 (유가읍),대구광역시 달성군,동물보호 담당,053-668-3863,
427348202200771,http://www.animal.go.kr/files/shelter/2022/07/20220803170855_s.jpg,8/1/2022,현풍IC 인근,[고양이] 한국 고양이,고등어태비,2022(년생),0.29(Kg),대구-달성-2022-00478,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/20220803170855.jpg,보호중,M,N,"박스에 담긴 채 3마리 구조, 온순 ,건강상 특이소견 없음",현풍동물병원,053-614-3570,대구광역시 달성군 유가읍 테크노공원로 51 (유가읍),대구광역시 달성군,동물보호 담당,053-668-3863,
427348202200770,http://www.animal.go.kr/files/shelter/2022/07/202208031708976_s.jpg,8/1/2022,현풍IC,[고양이] 한국 고양이,검은색,2022(년생),0.29(Kg),대구-달성-2022-00477,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208031708976.jpg,보호중,F,N,"박스에 담긴 채 3마리 구조, 온순 ,건강상 특이소견 없음",현풍동물병원,053-614-3570,대구광역시 달성군 유가읍 테크노공원로 51 (유가읍),대구광역시 달성군,동물보호 담당,053-668-3863,
426325202200271,http://www.animal.go.kr/files/shelter/2022/07/202208030908388_s.jpg,8/1/2022,영주동 민주공원 민주행쟁기념관 사무실,[고양이] 한국 고양이,황색,2022(년생),0.25(Kg),부산-중구-2022-00148,8/3/2022,8/16/2022,http://www.animal.go.kr/files/shelter/2022/07/202208030908388.jpeg,보호중,Q,N,"젖먹이,인공수유,탯줄이붙어있음,기력없음,중구2-82호",부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동),부산광역시 중구,오현지,051-600-4481,
411306202200538,http://www.animal.go.kr/files/shelter/2022/07/202208030908444_s.jpg,8/1/2022,신내동 신내6단지 일대,[개] 포메라니안,갈/흰,2016(년생),4.2(Kg),서울-중랑-2022-00114,8/3/2022,8/23/2022,http://www.animal.go.kr/files/shelter/2022/07/202208030908444.jpg,종료(반환),F,U,코검정.오른쪽눈체리아이의심.송곳니치석.사람따름.겁약간.소심함.얌전함.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,서울특별시 중랑구,김가희,02-2094-0753,
411306202200537,http://www.animal.go.kr/files/shelter/2022/07/202208021508467[1]_s.jpg,8/1/2022,면목동 282-6 면목역 일대,[개] 푸들,갈,2022(년생),5.5(Kg),서울-중랑-2022-00113,8/3/2022,8/23/2022,http://www.animal.go.kr/files/shelter/2022/07/202208021508467[1].jpg,종료(반환),M,N,코검정. 사람좋아함/활발/애교있음. 꼬리단미됨. 털때탐. 칩있음.,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37,서울특별시 중랑구,김가희,02-2094-0753,
450650202202901,http://www.animal.go.kr/files/shelter/2022/07/202208020908781_s.jpg,8/1/2022,제주시 한림읍 한림읍사무소,[고양이] 한국 고양이,흰갈,2022(년생),0.9(Kg),제주-제주-2022-02824,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908781.jpg,종료(안락사),F,N,개체관리번호 22457 - 왼쪽앞다리상처/경계심,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202900,http://www.animal.go.kr/files/shelter/2022/07/202208020908535_s.jpg,8/1/2022,제주시 노형동 중흥s클래스,[고양이] 한국 고양이,삼색,2022(년생),0.3(Kg),제주-제주-2022-02823,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908535.jpg,보호중,F,N,개체관리번호 22456 -1개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202899,http://www.animal.go.kr/files/shelter/2022/07/20220802090870_s.jpg,8/1/2022,제주시 도남동 부민장례식장,[고양이] 한국 고양이,삼색,2022(년생),0.7(Kg),제주-제주-2022-02822,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/20220802090870.jpg,종료(방사),F,N,개체관리번호 22455 - 2개월/왼쪽귀상처/경계심,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202896,http://www.animal.go.kr/files/shelter/2022/07/202208020908219_s.jpg,8/1/2022,서귀포시 표선면 중앙로 43번길 20,[고양이] 한국 고양이,흰색,2022(년생),0.1(Kg),제주-제주-2022-02821,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908219.jpg,보호중,M,N,개체관리번호 22452 - 3일차/이유식후분양,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202895,http://www.animal.go.kr/files/shelter/2022/07/202208020908641_s.jpg,8/1/2022,서귀포시 표선면 중앙로 43번길 20,[고양이] 한국 고양이,흰색,2022(년생),0.1(Kg),제주-제주-2022-02820,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908641.jpg,보호중,M,N,개체관리번호 22451 - 3일차/이유식후분양,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202894,http://www.animal.go.kr/files/shelter/2022/07/202208020908444_s.jpg,8/1/2022,제주시 구좌읍 김녕리3778,[개] 믹스견,검정,2021(년생),15(Kg),제주-제주-2022-02819,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908444.jpg,보호중,M,N,개체관리번호 2484,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202893,http://www.animal.go.kr/files/shelter/2022/07/202208020908209_s.jpg,8/1/2022,제주시 조천읍 번영로 941,[개] 믹스견,흰색,2021(년생),15.1(Kg),제주-제주-2022-02818,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908209.jpg,보호중,M,N,개체관리번호 2483 - 낡은목줄/경계심,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202892,http://www.animal.go.kr/files/shelter/2022/07/202208020908346_s.jpg,8/1/2022,제주시 애월읍 소길2길7,[개] 믹스견,갈검,2022(년생),2.8(Kg),제주-제주-2022-02817,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908346.jpg,보호중,F,N,개체관리번호 2482 - 1개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202891,http://www.animal.go.kr/files/shelter/2022/07/202208020908741_s.jpg,8/1/2022,제주시 한림읍 광산로 782-79,[개] 믹스견,검갈,2020(년생),12.3(Kg),제주-제주-2022-02816,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908741.jpg,보호중,F,U,개체관리번호 2481 - 경계심,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202890,http://www.animal.go.kr/files/shelter/2022/07/202208020908327_s.jpg,8/1/2022,제주시 구좌읍 하도동길 27-38,[개] 믹스견,흰색,2022(년생),3.6(Kg),제주-제주-2022-02815,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908327.jpg,보호중,M,N,개체관리번호 2480 - 3개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202889,http://www.animal.go.kr/files/shelter/2022/07/202208020908952_s.jpg,8/1/2022,제주시 구좌읍 하도동길 27-38,[개] 믹스견,흰색,2022(년생),3.2(Kg),제주-제주-2022-02814,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908952.jpg,보호중,M,N,개체관리번호 2479 - 3개월,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202888,http://www.animal.go.kr/files/shelter/2022/07/202208020908854_s.jpg,8/1/2022,제주시 아라이동 1168-4,[개] 믹스견,흰색,2022(년생),5.2(Kg),제주-제주-2022-02813,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908854.jpg,종료(자연사),M,N,개체관리번호 2478 - 10개월/경계심,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202887,http://www.animal.go.kr/files/shelter/2022/07/202208020908787_s.jpg,8/1/2022,제주시 조천읍 조천리 354-1,[개] 도베르만,검갈,2020(년생),24(Kg),제주-제주-2022-02812,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908787.jpg,보호중,M,N,개체관리번호 2477 - 빨파목줄,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
450650202202886,http://www.animal.go.kr/files/shelter/2022/07/202208020908322_s.jpg,8/1/2022,제주시 조천읍 조함해안로 273-37,[개] 믹스견,흰색,2022(년생),7.8(Kg),제주-제주-2022-02811,8/2/2022,8/12/2022,http://www.animal.go.kr/files/shelter/2022/07/202208020908322.jpg,보호중,F,N,개체관리번호 2476 - 5개월/경계심,제주 동물보호센터,064-710-4065,제주특별자치도 제주시 첨단동길 184-14 (용강동),제주특별자치도,제주동물보호센터,064-710-4065,
